pattern:[[20130090]], support:2
pattern:[[14842019]], support:2
pattern:[[15120007]], support:2
pattern:[[14802027]], support:2
pattern:[[11230070]], support:2
pattern:[[14846001]], support:2
pattern:[[15140009]], support:2
pattern:[[15140009], [14050015]], support:2
pattern:[[10422012]], support:2
pattern:[[22101003]], support:2
pattern:[[24102005]], support:2
pattern:[[22840002]], support:2
pattern:[[14200035]], support:2
pattern:[[15343010]], support:2
pattern:[[15343010], [30380003]], support:2
pattern:[[24010825]], support:2
pattern:[[24011002]], support:2
pattern:[[14132181]], support:2
pattern:[[30351007]], support:2
pattern:[[11240017]], support:2
pattern:[[14240005]], support:2
pattern:[[14083004]], support:2
pattern:[[10119024]], support:2
pattern:[[14064009]], support:2
pattern:[[14842024]], support:2
pattern:[[30445008]], support:2
pattern:[[11500128]], support:2
pattern:[[11508002]], support:2
pattern:[[30504016]], support:2
pattern:[[30504016], [30504022]], support:2
pattern:[[30504022]], support:2
pattern:[[14831005]], support:2
pattern:[[14092068]], support:2
pattern:[[11521011]], support:2
pattern:[[11303081]], support:2
pattern:[[14092046]], support:2
pattern:[[10119074]], support:2
pattern:[[10141023]], support:2
pattern:[[14054012]], support:2
pattern:[[10141002]], support:2
pattern:[[15149003]], support:2
pattern:[[14594017]], support:2
pattern:[[14594017], [30380003]], support:2
pattern:[[14145008]], support:2
pattern:[[14596018]], support:2
pattern:[[14594007]], support:2
pattern:[[11111001]], support:2
pattern:[[11011034]], support:2
pattern:[[15100000]], support:2
pattern:[[15005000]], support:2
pattern:[[14525014]], support:2
pattern:[[10300042]], support:2
pattern:[[14834009]], support:2
pattern:[[14834009], [14834010]], support:2
pattern:[[14352004]], support:2
pattern:[[14834000]], support:2
pattern:[[14834000], [27300274]], support:2
pattern:[[15242042]], support:2
pattern:[[14060002]], support:2
pattern:[[10002031]], support:2
pattern:[[23171006]], support:2
pattern:[[30321004]], support:2
pattern:[[15410034]], support:2
pattern:[[14750057]], support:2
pattern:[[10150023]], support:2
pattern:[[14091048]], support:2
pattern:[[14653000]], support:2
pattern:[[14223000]], support:2
pattern:[[14722031]], support:2
pattern:[[15402035]], support:2
pattern:[[10000005]], support:2
pattern:[[14090031]], support:2
pattern:[[15202072]], support:2
pattern:[[14531014]], support:2
pattern:[[10119082]], support:2
pattern:[[14112001]], support:2
pattern:[[14822009]], support:2
pattern:[[14863009]], support:2
pattern:[[15110051]], support:2
pattern:[[14845009]], support:2
pattern:[[10421016]], support:2
pattern:[[11303161]], support:2
pattern:[[10119079]], support:2
pattern:[[14835011]], support:2
pattern:[[14101039]], support:2
pattern:[[14723003]], support:2
pattern:[[10435040]], support:2
pattern:[[10113006]], support:2
pattern:[[15412004]], support:2
pattern:[[15004041]], support:2
pattern:[[30451039]], support:2
pattern:[[14722030]], support:2
pattern:[[14105020]], support:2
pattern:[[15110009]], support:2
pattern:[[15104014]], support:2
pattern:[[23110193]], support:2
pattern:[[14802011]], support:2
pattern:[[11052012]], support:2
pattern:[[14710008]], support:2
pattern:[[30000034]], support:2
pattern:[[14091046]], support:2
pattern:[[14750061]], support:2
pattern:[[14842022]], support:2
pattern:[[24010811]], support:2
pattern:[[22172002]], support:2
pattern:[[14130016]], support:2
pattern:[[14130016], [14723019]], support:2
pattern:[[15103000]], support:2
pattern:[[15333005]], support:2
pattern:[[14513009]], support:2
pattern:[[14842012]], support:2
pattern:[[14850005]], support:2
pattern:[[27000575]], support:2
pattern:[[15004049]], support:2
pattern:[[14250003]], support:2
pattern:[[10141019]], support:2
pattern:[[14284000]], support:2
pattern:[[10110000]], support:2
pattern:[[10150017]], support:2
pattern:[[10002030]], support:2
pattern:[[14900017]], support:2
pattern:[[24030065]], support:2
pattern:[[14032021]], support:2
pattern:[[14280008]], support:2
pattern:[[15231002]], support:2
pattern:[[10116027]], support:2
pattern:[[14200038]], support:2
pattern:[[14870001]], support:2
pattern:[[33060006]], support:2
pattern:[[10008007]], support:2
pattern:[[14826012]], support:2
pattern:[[10119083]], support:2
pattern:[[14905004]], support:2
pattern:[[14830016]], support:2
pattern:[[14830032]], support:2
pattern:[[14838002]], support:2
pattern:[[14200034]], support:2
pattern:[[11301076]], support:2
pattern:[[10119028]], support:2
pattern:[[21000001]], support:2
pattern:[[10401025]], support:2
pattern:[[14722021]], support:2
pattern:[[15240006]], support:2
pattern:[[10136000]], support:2
pattern:[[14831017]], support:2
pattern:[[30522045]], support:2
pattern:[[14014012]], support:2
pattern:[[24010886]], support:2
pattern:[[24010886], [27300274]], support:2
pattern:[[24010886], [27300274], [27300284]], support:2
pattern:[[24010886], [27300284]], support:2
pattern:[[15502002]], support:2
pattern:[[14651000]], support:2
pattern:[[14655001]], support:2
pattern:[[14811027]], support:2
pattern:[[21011010]], support:2
pattern:[[22716003]], support:2
pattern:[[22716003], [25120014]], support:2
pattern:[[10501088]], support:2
pattern:[[22100056]], support:2
pattern:[[20110008]], support:2
pattern:[[10135000]], support:2
pattern:[[27000033]], support:2
pattern:[[14076032]], support:2
pattern:[[14092071]], support:2
pattern:[[14203022]], support:2
pattern:[[14091006]], support:2
pattern:[[14721073]], support:2
pattern:[[14830004]], support:2
pattern:[[14906002]], support:2
pattern:[[14650003]], support:2
pattern:[[14650003], [15115034]], support:2
pattern:[[14721044]], support:2
pattern:[[11303089]], support:2
pattern:[[10141070]], support:2
pattern:[[10112014]], support:2
pattern:[[14833008]], support:2
pattern:[[25130014]], support:2
pattern:[[14131008]], support:2
pattern:[[14843019]], support:2
pattern:[[22120017]], support:2
pattern:[[15410012]], support:2
pattern:[[15110068]], support:2
pattern:[[22715004]], support:2
pattern:[[23110145]], support:2
pattern:[[23110145], [23110009]], support:2
pattern:[[11305010]], support:2
pattern:[[11022022]], support:2
pattern:[[15419013]], support:2
pattern:[[14843027]], support:2
pattern:[[20101014]], support:2
pattern:[[14846021]], support:2
pattern:[[15320000]], support:2
pattern:[[11502025]], support:2
pattern:[[11502025], [14722074]], support:2
pattern:[[14033054]], support:2
pattern:[[14525015]], support:2
pattern:[[24000335]], support:2
pattern:[[14835005]], support:2
pattern:[[14830029]], support:2
pattern:[[14851013]], support:2
pattern:[[15211004]], support:2
pattern:[[14905009]], support:2
pattern:[[14905009], [27300282]], support:2
pattern:[[31042017]], support:2
pattern:[[15110035]], support:2
pattern:[[11231150]], support:2
pattern:[[15022002]], support:2
pattern:[[14835060]], support:2
pattern:[[22013005]], support:2
pattern:[[22120003]], support:2
pattern:[[22631004]], support:2
pattern:[[14836007]], support:2
pattern:[[11004003]], support:2
pattern:[[14583003]], support:2
pattern:[[11521063]], support:2
pattern:[[11303165]], support:2
pattern:[[11110046]], support:2
pattern:[[14064007]], support:2
pattern:[[15242037]], support:2
pattern:[[14722015]], support:2
pattern:[[15604010]], support:2
pattern:[[14830018]], support:2
pattern:[[22120016]], support:2
pattern:[[11303051]], support:2
pattern:[[14112010]], support:2
pattern:[[14260007]], support:2
pattern:[[14022002]], support:2
pattern:[[11231152]], support:2
pattern:[[30010026]], support:2
pattern:[[11500112]], support:2
pattern:[[14130049]], support:2
pattern:[[30320001]], support:2
pattern:[[14271000]], support:2
pattern:[[14271000], [15131001]], support:2
pattern:[[15209021]], support:2
pattern:[[10116026]], support:2
pattern:[[15114004]], support:2
pattern:[[15114004], [15114005]], support:2
pattern:[[15202069]], support:2
pattern:[[14722050]], support:2
pattern:[[14722050], [14722051]], support:2
pattern:[[14722050], [14722051], [30380002]], support:2
pattern:[[14722050], [30380002]], support:2
pattern:[[14722051]], support:2
pattern:[[14722051], [30380002]], support:2
pattern:[[10150020]], support:2
pattern:[[10130006]], support:2
pattern:[[14015065]], support:2
pattern:[[14022004]], support:2
pattern:[[14010006]], support:2
pattern:[[14515001]], support:2
pattern:[[25112008]], support:2
pattern:[[10002003]], support:2
pattern:[[10002006]], support:2
pattern:[[21700003]], support:2
pattern:[[24403017]], support:2
pattern:[[24403017], [23110009]], support:2
pattern:[[34240027]], support:2
pattern:[[14112012]], support:2
pattern:[[15209007]], support:2
pattern:[[11220003]], support:2
pattern:[[11220057]], support:2
pattern:[[30832012]], support:2
pattern:[[10000012]], support:2
pattern:[[14200041]], support:2
pattern:[[15404010]], support:2
pattern:[[10114005]], support:2
pattern:[[10114005], [27000574]], support:2
pattern:[[14593008]], support:2
pattern:[[10150046]], support:2
pattern:[[22034006]], support:2
pattern:[[11303187]], support:2
pattern:[[11241028]], support:2
pattern:[[15004077]], support:2
pattern:[[14800009]], support:2
pattern:[[14828017]], support:2
pattern:[[15120005]], support:2
pattern:[[14140048]], support:2
pattern:[[32316027]], support:2
pattern:[[14573010]], support:2
pattern:[[14750043]], support:2
pattern:[[14916000]], support:2
pattern:[[14916000], [15231004]], support:2
pattern:[[14916000], [15231004], [15231005]], support:2
pattern:[[14916000], [15231005]], support:2
pattern:[[15433003]], support:2
pattern:[[10501093]], support:2
pattern:[[14082026]], support:2
pattern:[[15115035]], support:2
pattern:[[14052027]], support:2
pattern:[[27002176]], support:2
pattern:[[27002630]], support:2
pattern:[[11222045]], support:2
pattern:[[15004033]], support:2
pattern:[[14513025]], support:2
pattern:[[14851005]], support:2
pattern:[[11501070]], support:2
pattern:[[23110192]], support:2
pattern:[[11301004]], support:2
pattern:[[21400019]], support:2
pattern:[[11240006]], support:2
pattern:[[14830021]], support:2
pattern:[[14900019]], support:2
pattern:[[27401715]], support:2
pattern:[[22630004]], support:2
pattern:[[10435036]], support:2
pattern:[[14515002]], support:2
pattern:[[30321020]], support:2
pattern:[[15130026]], support:2
pattern:[[15130026], [23110009]], support:2
pattern:[[15130026], [23110009], [15131001]], support:2
pattern:[[15130026], [15131001]], support:2
pattern:[[15139023]], support:2
pattern:[[15202006]], support:2
pattern:[[10002027]], support:2
pattern:[[14075021]], support:2
pattern:[[14075021], [22130000]], support:2
pattern:[[10002017]], support:2
pattern:[[10002017], [30380002]], support:2
pattern:[[10000016]], support:2
pattern:[[15219000]], support:2
pattern:[[36030033]], support:2
pattern:[[22110005]], support:2
pattern:[[14906009]], support:2
pattern:[[15120002]], support:2
pattern:[[15502061]], support:2
pattern:[[15004003]], support:2
pattern:[[11230201]], support:2
pattern:[[14012004]], support:2
pattern:[[22130029]], support:2
pattern:[[11230052]], support:2
pattern:[[14843015]], support:2
pattern:[[14843015], [23131002]], support:2
pattern:[[14573000]], support:2
pattern:[[15114033]], support:2
pattern:[[10200036]], support:2
pattern:[[15139008]], support:2
pattern:[[14091011]], support:2
pattern:[[10150012]], support:2
pattern:[[14072001]], support:2
pattern:[[22870001]], support:2
pattern:[[22870001], [22701014]], support:2
pattern:[[14903002]], support:2
pattern:[[14956014]], support:2
pattern:[[14822001]], support:2
pattern:[[14831002]], support:2
pattern:[[11303084]], support:2
pattern:[[15250003]], support:2
pattern:[[14231003]], support:2
pattern:[[22701011]], support:2
pattern:[[22701011], [23110009]], support:2
pattern:[[15200005]], support:2
pattern:[[11220024]], support:2
pattern:[[22021010]], support:2
pattern:[[23130079]], support:2
pattern:[[14050026]], support:2
pattern:[[14841003]], support:2
pattern:[[14811024]], support:2
pattern:[[11303105]], support:2
pattern:[[11300054]], support:2
pattern:[[14260008]], support:2
pattern:[[15110075]], support:2
pattern:[[30634005]], support:2
pattern:[[14844035]], support:2
pattern:[[14721043]], support:2
pattern:[[14043031]], support:2
pattern:[[10141021]], support:2
pattern:[[11530008]], support:2
pattern:[[10141049]], support:2
pattern:[[14585004]], support:2
pattern:[[32821005]], support:2
pattern:[[14814000]], support:2
pattern:[[14814000], [22103004]], support:2
pattern:[[14092047]], support:2
pattern:[[14092047], [30380002]], support:2
pattern:[[14721069]], support:2
pattern:[[14020015]], support:2
pattern:[[14020015], [14722017]], support:2
pattern:[[14020015], [14722017], [30380002]], support:2
pattern:[[14020015], [30380002]], support:2
pattern:[[10116023]], support:2
pattern:[[14722017]], support:2
pattern:[[14722017], [30380002]], support:2
pattern:[[10002026]], support:2
pattern:[[14956008]], support:2
pattern:[[22702004]], support:2
pattern:[[11500066]], support:2
pattern:[[10002009]], support:2
pattern:[[10002009], [23110009]], support:2
pattern:[[10141007]], support:2
pattern:[[30420003]], support:2
pattern:[[15200009]], support:2
pattern:[[10137011]], support:2
pattern:[[14061006]], support:2
pattern:[[30634017]], support:2
pattern:[[15202053]], support:2
pattern:[[14082000]], support:2
pattern:[[15104025]], support:2
pattern:[[14275007]], support:2
pattern:[[14281001]], support:2
pattern:[[23130075]], support:2
pattern:[[11011028]], support:2
pattern:[[14200059]], support:2
pattern:[[14594014]], support:2
pattern:[[30169004]], support:2
pattern:[[14082011]], support:2
pattern:[[14050037]], support:2
pattern:[[10141047]], support:2
pattern:[[14241005]], support:2
pattern:[[27002573]], support:2
pattern:[[11110157]], support:2
pattern:[[11502024]], support:2
pattern:[[11531010]], support:2
pattern:[[11532038]], support:2
pattern:[[14090000]], support:2
pattern:[[22830007]], support:2
pattern:[[30010005]], support:2
pattern:[[10130007]], support:2
pattern:[[14013009]], support:2
pattern:[[14000002]], support:2
pattern:[[11303178]], support:2
pattern:[[14721041]], support:2
pattern:[[15240010]], support:2
pattern:[[14701035]], support:2
pattern:[[22131005]], support:2
pattern:[[15502049]], support:2
pattern:[[14839048]], support:2
pattern:[[15110029]], support:2
pattern:[[15320002]], support:2
pattern:[[15320002], [27201062]], support:2
pattern:[[30365017]], support:2
pattern:[[15502022]], support:2
pattern:[[23110189]], support:2
pattern:[[23110189], [23110009]], support:2
pattern:[[14100072]], support:2
pattern:[[14105014]], support:2
pattern:[[14723002]], support:2
pattern:[[22630008]], support:2
pattern:[[15202008]], support:2
pattern:[[10119078]], support:2
pattern:[[24011110]], support:2
pattern:[[24011098]], support:2
pattern:[[14720005]], support:2
pattern:[[14000004]], support:2
pattern:[[11533029]], support:2
pattern:[[14750003]], support:2
pattern:[[10141014]], support:2
pattern:[[10132005]], support:2
pattern:[[15343007]], support:2
pattern:[[15320001]], support:2
pattern:[[15320001], [30380002]], support:2
pattern:[[15139011]], support:2
pattern:[[22520002]], support:2
pattern:[[14721077]], support:2
pattern:[[14802051]], support:2
pattern:[[14596013]], support:2
pattern:[[14113000]], support:2
pattern:[[14142040]], support:2
pattern:[[14275036]], support:2
pattern:[[11300130]], support:2
pattern:[[14101028]], support:2
pattern:[[14525018]], support:2
pattern:[[14051003]], support:2
pattern:[[14051004]], support:2
pattern:[[15605013]], support:2
pattern:[[14513016]], support:2
pattern:[[15110049]], support:2
pattern:[[27002264]], support:2
pattern:[[24403028]], support:2
pattern:[[14710019]], support:2
pattern:[[22671070]], support:2
pattern:[[14700032]], support:2
pattern:[[14130019]], support:2
pattern:[[15115004]], support:2
pattern:[[14072005]], support:2
pattern:[[14080019]], support:2
pattern:[[14130060]], support:2
pattern:[[21200008]], support:2
pattern:[[14835022]], support:2
pattern:[[10300037]], support:2
pattern:[[14636005]], support:2
pattern:[[14232009]], support:2
pattern:[[14232009], [14241008]], support:2
pattern:[[14241008]], support:2
pattern:[[24101076]], support:2
pattern:[[14594004]], support:2
pattern:[[24403022]], support:2
pattern:[[10109009]], support:2
pattern:[[10002005]], support:2
pattern:[[14722047]], support:2
pattern:[[14580010]], support:2
pattern:[[14132107]], support:2
pattern:[[14132107], [14203024]], support:2
pattern:[[14132107], [14203024], [14076030]], support:2
pattern:[[14132107], [14076030]], support:2
pattern:[[14043012]], support:2
pattern:[[10119086]], support:2
pattern:[[10300021]], support:2
pattern:[[14091047]], support:2
pattern:[[14052002]], support:2
pattern:[[15104026]], support:2
pattern:[[14052005]], support:2
pattern:[[15139018]], support:2
pattern:[[14050013]], support:2
pattern:[[11110121]], support:2
pattern:[[14121010]], support:2
pattern:[[14050022]], support:2
pattern:[[15019026]], support:2
pattern:[[15149006]], support:2
pattern:[[15202078]], support:2
pattern:[[14107003]], support:2
pattern:[[14091032]], support:2
pattern:[[10116015]], support:2
pattern:[[11532036]], support:2
pattern:[[14130030]], support:2
pattern:[[22901000]], support:2
pattern:[[14092059]], support:2
pattern:[[11533057]], support:2
pattern:[[11533057], [30380003]], support:2
pattern:[[14814026]], support:2
pattern:[[14814026], [15231005]], support:2
pattern:[[24220021]], support:2
pattern:[[14833011]], support:2
pattern:[[34121002]], support:2
pattern:[[27400052]], support:2
pattern:[[11502022]], support:2
pattern:[[15605059]], support:2
pattern:[[23110185]], support:2
pattern:[[14594013]], support:2
pattern:[[15110012]], support:2
pattern:[[27200170]], support:2
pattern:[[11303101]], support:2
pattern:[[30231003]], support:2
pattern:[[22171002]], support:2
pattern:[[10002020]], support:2
pattern:[[14530014]], support:2
pattern:[[23110124]], support:2
pattern:[[14021014]], support:2
pattern:[[10300019]], support:2
pattern:[[11056012]], support:2
pattern:[[15000051]], support:2
pattern:[[22020010]], support:2
pattern:[[15115009]], support:2
pattern:[[10008012]], support:2
pattern:[[14131005]], support:2
pattern:[[14209020]], support:2
pattern:[[11022065]], support:2
pattern:[[11500091]], support:2
pattern:[[10441016]], support:2
pattern:[[14142007]], support:2
pattern:[[14142007], [30380002]], support:2
pattern:[[14050034]], support:2
pattern:[[22500001]], support:2
pattern:[[14844027]], support:2
pattern:[[10150038]], support:2
pattern:[[11303134]], support:2
pattern:[[15110083]], support:2
pattern:[[10008003]], support:2
pattern:[[15111012]], support:2
pattern:[[10119051]], support:2
pattern:[[22821000]], support:2
pattern:[[14077001]], support:2
pattern:[[34220017]], support:2
pattern:[[14560001]], support:2
pattern:[[30510012]], support:2
pattern:[[10152012]], support:2
pattern:[[14275019]], support:2
pattern:[[14802009]], support:2
pattern:[[14000009]], support:2
pattern:[[14041002]], support:2
pattern:[[14041002], [14203024]], support:2
pattern:[[14826019]], support:2
pattern:[[15503029]], support:2
pattern:[[24011146]], support:2
pattern:[[30820030]], support:2
pattern:[[10132000]], support:2
pattern:[[15433002]], support:2
pattern:[[15433002], [15004012]], support:2
pattern:[[14252013]], support:2
pattern:[[14754005]], support:2
pattern:[[30448017]], support:2
pattern:[[14202011]], support:2
pattern:[[14521027]], support:2
pattern:[[14130013]], support:2
pattern:[[15139025]], support:2
pattern:[[14091031]], support:2
pattern:[[14521025]], support:2
pattern:[[11044009]], support:2
pattern:[[27002590]], support:2
pattern:[[34101152]], support:2
pattern:[[14000010]], support:2
pattern:[[15140018]], support:2
pattern:[[15123000]], support:2
pattern:[[11522023]], support:2
pattern:[[27002436]], support:2
pattern:[[15105001]], support:2
pattern:[[14083000]], support:2
pattern:[[10132003]], support:2
pattern:[[30332007]], support:2
pattern:[[14404002]], support:2
pattern:[[10141069]], support:2
pattern:[[15240001]], support:2
pattern:[[14407018]], support:2
pattern:[[11022054]], support:2
pattern:[[14092061]], support:2
pattern:[[15112000]], support:2
pattern:[[15503040]], support:2
pattern:[[14409000]], support:2
pattern:[[34363011]], support:2
pattern:[[22100002]], support:2
pattern:[[14844010]], support:2
pattern:[[15250004]], support:2
pattern:[[14722073]], support:2
pattern:[[11533034]], support:2
pattern:[[15202041]], support:2
pattern:[[10150013]], support:2
pattern:[[30335006]], support:2
pattern:[[11500095]], support:2
pattern:[[15110003]], support:2
pattern:[[27400119]], support:2
pattern:[[14903003]], support:2
pattern:[[14813001]], support:2
pattern:[[22671056]], support:2
pattern:[[24012008]], support:2
pattern:[[34225051]], support:2
pattern:[[14243001]], support:2
pattern:[[10135011]], support:2
pattern:[[15004064]], support:2
pattern:[[15004064], [15004066]], support:2
pattern:[[14520008]], support:2
pattern:[[27300275]], support:2
pattern:[[15110032]], support:2
pattern:[[22008009]], support:2
pattern:[[15004017]], support:2
pattern:[[15004017], [15004058]], support:2
pattern:[[15004017], [15004058], [15502043]], support:2
pattern:[[15004017], [15502043]], support:2
pattern:[[14092026]], support:2
pattern:[[25111045]], support:2
pattern:[[14101009]], support:2
pattern:[[14092021]], support:2
pattern:[[22860001]], support:2
pattern:[[11531053]], support:2
pattern:[[14281000]], support:2
pattern:[[11233038]], support:2
pattern:[[10150048]], support:2
pattern:[[10132002]], support:2
pattern:[[15262002]], support:2
pattern:[[14241001]], support:2
pattern:[[14010008]], support:2
pattern:[[11500065]], support:2
pattern:[[10401049]], support:2
pattern:[[14090018]], support:2
pattern:[[14081006]], support:2
pattern:[[11221037]], support:2
pattern:[[10000025]], support:2
pattern:[[20014001]], support:2
pattern:[[14222013]], support:2
pattern:[[10310051]], support:2
pattern:[[22032012]], support:2
pattern:[[15140008]], support:2
pattern:[[14900007]], support:2
pattern:[[10141028]], support:2
pattern:[[22030005]], support:2
pattern:[[14770018]], support:3
pattern:[[14932002]], support:3
pattern:[[14091023]], support:3
pattern:[[10102002]], support:3
pattern:[[15113001]], support:3
pattern:[[14811002]], support:3
pattern:[[15104020]], support:3
pattern:[[24000137]], support:3
pattern:[[15401007]], support:3
pattern:[[10401051]], support:3
pattern:[[14710026]], support:3
pattern:[[10201007]], support:3
pattern:[[14073020]], support:3
pattern:[[24030062]], support:3
pattern:[[14200040]], support:3
pattern:[[22713004]], support:3
pattern:[[14121013]], support:3
pattern:[[14200032]], support:3
pattern:[[14200032], [30380002]], support:2
pattern:[[14091043]], support:3
pattern:[[15402007]], support:3
pattern:[[14130050]], support:3
pattern:[[27002165]], support:3
pattern:[[11540000]], support:3
pattern:[[11540000], [30380002]], support:2
pattern:[[11220041]], support:3
pattern:[[11531011]], support:3
pattern:[[22630049]], support:3
pattern:[[14900022]], support:3
pattern:[[11500137]], support:3
pattern:[[14092013]], support:3
pattern:[[14092016]], support:3
pattern:[[11112019]], support:3
pattern:[[15605016]], support:3
pattern:[[25150001]], support:3
pattern:[[14034017]], support:3
pattern:[[14034017], [30380002]], support:2
pattern:[[21200006]], support:3
pattern:[[21200006], [22190000]], support:2
pattern:[[10113007]], support:3
pattern:[[11532008]], support:3
pattern:[[15004066]], support:3
pattern:[[14093001]], support:3
pattern:[[14830013]], support:3
pattern:[[22020001]], support:3
pattern:[[24101005]], support:3
pattern:[[14401013]], support:3
pattern:[[27002163]], support:3
pattern:[[27002163], [22102014]], support:2
pattern:[[27200941]], support:3
pattern:[[27000037]], support:3
pattern:[[27000037], [27410000]], support:2
pattern:[[22701008]], support:3
pattern:[[24012009]], support:3
pattern:[[10109004]], support:3
pattern:[[27200940]], support:3
pattern:[[14000001]], support:3
pattern:[[22503000]], support:3
pattern:[[22610002]], support:3
pattern:[[15200010]], support:3
pattern:[[14710024]], support:3
pattern:[[14721070]], support:3
pattern:[[14120007]], support:3
pattern:[[24100000]], support:3
pattern:[[24010016]], support:3
pattern:[[14801002]], support:3
pattern:[[22010032]], support:3
pattern:[[14131017]], support:3
pattern:[[15202012]], support:3
pattern:[[27000012]], support:3
pattern:[[15115024]], support:3
pattern:[[14831014]], support:3
pattern:[[27002042]], support:3
pattern:[[14100120]], support:3
pattern:[[10141080]], support:3
pattern:[[30356005]], support:3
pattern:[[21011008]], support:3
pattern:[[14802057]], support:3
pattern:[[14092074]], support:3
pattern:[[15019015]], support:3
pattern:[[32416010]], support:3
pattern:[[15149011]], support:3
pattern:[[14834007]], support:3
pattern:[[15110008]], support:3
pattern:[[11301089]], support:3
pattern:[[22020005]], support:3
pattern:[[14013024]], support:3
pattern:[[10111000]], support:3
pattern:[[10112003]], support:3
pattern:[[14090005]], support:3
pattern:[[14090006]], support:3
pattern:[[14080022]], support:3
pattern:[[14080022], [30380002]], support:2
pattern:[[14092056]], support:3
pattern:[[14060006]], support:3
pattern:[[14661002]], support:3
pattern:[[15149005]], support:3
pattern:[[14750040]], support:3
pattern:[[22701020]], support:3
pattern:[[11022030]], support:3
pattern:[[23120059]], support:3
pattern:[[14836012]], support:3
pattern:[[14111002]], support:3
pattern:[[14834010]], support:3
pattern:[[14091005]], support:3
pattern:[[15415020]], support:3
pattern:[[14750062]], support:3
pattern:[[24000334]], support:3
pattern:[[22111028]], support:3
pattern:[[27401709]], support:3
pattern:[[27401709], [23110009]], support:2
pattern:[[30514028]], support:3
pattern:[[20012188]], support:3
pattern:[[15343006]], support:3
pattern:[[10136001]], support:3
pattern:[[14200022]], support:3
pattern:[[14823000]], support:3
pattern:[[14846026]], support:3
pattern:[[15410015]], support:3
pattern:[[14093002]], support:3
pattern:[[15432003]], support:3
pattern:[[10119081]], support:3
pattern:[[14121043]], support:3
pattern:[[14861003]], support:3
pattern:[[14275023]], support:3
pattern:[[14275023], [14250015]], support:2
pattern:[[14250015]], support:3
pattern:[[10119012]], support:3
pattern:[[30304027]], support:3
pattern:[[15242033]], support:3
pattern:[[10008001]], support:3
pattern:[[14101026]], support:3
pattern:[[14060008]], support:3
pattern:[[22101005]], support:3
pattern:[[22101005], [22102013]], support:2
pattern:[[11511051]], support:3
pattern:[[14284001]], support:3
pattern:[[14284001], [30380002]], support:2
pattern:[[14010015]], support:3
pattern:[[14812005]], support:3
pattern:[[22714001]], support:3
pattern:[[22714001], [22714002]], support:2
pattern:[[15410016]], support:3
pattern:[[14900013]], support:3
pattern:[[14900013], [15503022]], support:2
pattern:[[15503022]], support:3
pattern:[[15503022], [27300274]], support:2
pattern:[[15502036]], support:3
pattern:[[27400061]], support:3
pattern:[[33060007]], support:3
pattern:[[10000004]], support:3
pattern:[[10119013]], support:3
pattern:[[15405002]], support:3
pattern:[[15405002], [15231005]], support:2
pattern:[[20103016]], support:3
pattern:[[20103016], [25120016]], support:2
pattern:[[10300030]], support:3
pattern:[[14845010]], support:3
